interpro	GO	Class	Source
IPR000020	NA	Cleaved	GO_mapping
IPR000198	NA	Receptor / G protein	GO_mapping
IPR000203	NA	Cleaved / GPCR	GO_mapping
IPR000299	NA	Targeting	GO_mapping
IPR001039	NA	MHC	GO_mapping
IPR011161	NA	MHC	GO_mapping
IPR013766	NA	Thioredoxin	GO_mapping
IPR013781	NA	Hydrolase / Sugar	GO_mapping
IPR016024	NA	Binding	GO_mapping
IPR017448	NA	Receptor / Repeat	GO_mapping
IPR000083	NA	Fibronectin	GO_mapping
IPR000159	NA	Signal	GO_mapping
IPR000536	NA	Receptor / Binding	GO_mapping
IPR000857	NA	Motor	GO_mapping
IPR000998	NA	Binding / Adhesion	GO_mapping
IPR001179	NA	Folding	GO_mapping
IPR001401	NA	Binding / GTP	GO_mapping
IPR001565	NA	Binding / Lipid	GO_mapping
IPR001774	NA	Ligand / Notch	GO_mapping
IPR001799	NA	Ligand	GO_mapping
IPR001928	NA	Cleaved	GO_mapping
IPR002641	NA	Lipid	GO_mapping
IPR003886	NA	Unknown	GO_mapping
IPR003987	NA	Unknown	GO_mapping
IPR006796	NA	Signal	GO_mapping
IPR008753	NA	Cleavage	GO_mapping
IPR009038	NA	GOLD	GO_mapping
IPR009048	NA	Binding / Ligand	GO_mapping
IPR009083	NA	Transcription factor	GO_mapping
IPR009088	NA	Transcription factor	GO_mapping
IPR009471	NA	EF-Hand	GO_mapping
IPR010307	NA	Adhesion	GO_mapping
IPR011651	NA	Ligand / Notch	GO_mapping
IPR011656	NA	Notch	GO_mapping
IPR012561	NA	Unknown	GO_mapping
IPR014760	NA	Albumin	GO_mapping
IPR015988	NA	Transcription factor	GO_mapping
IPR016093	NA	MIR	GO_mapping
IPR020858	NA	Albumin	GO_mapping
IPR022416	NA	Prion	GO_mapping
IPR000001		Unknown / Kringle	High count
IPR002477		Binding / Peptidoglycan	High count
IPR002919		Inhibitor / Cleavage	High count
IPR008972		Redoxin	High count
IPR013980		Binding / Protein	High count
IPR016040		Binding / NADP	High count
IPR018490		Binding / CAMP	High count
IPR018933		Inhibitor / Cleavage	High count
IPR019748		Targeting	High count
IPR022409		IG like	High count
IPR000421		Binding / Sugar	High count
IPR000585		Binding	High count
IPR001846		Binding	High count
IPR002181		Binding	High count
IPR011511		Binding / Protein	High count
IPR015940		Binding / Protein	High count
IPR019749		Targeting	High count
IPR001173		Transferase / Sugar	High count
IPR001650		Unknown	High count
IPR000772		Binding / Sugar	High count
IPR000980		Binding / Phosphoprotein	High count
IPR002049		Binding, EGF	High count
IPR006207		Factor	High count
IPR008930		Transferase	High count
IPR009017		Binding / Protein	High count
IPR011047		Alcohol dehyd.	High count
IPR013151		IG	High count
IPR014001		Binding / DNA	High count
IPR014710		Isomerase	High count
IPR000716		Unknown,Inhibitor/Cleavage	High count
IPR001870		Binding / Protein	High count
IPR026823		EGF	High count
IPR000859		Dimerisation, Binding	High count
IPR001304		Binding / Sugar	High count
IPR014352		Targeting	High count
IPR023214		Hydrolase	High count
IPR011042		Interaction / Protein	High count
IPR003593		Binding / ATP	High count
IPR011029		Interaction / Protein	High count
IPR028889		Deubiquitinase	High count
IPR029058		Hydrolase	High count
IPR011991		Binding / DNA	High count
IPR020683		Interaction / Protein	High count
IPR003597		IG	High count
IPR013761		Interaction	High count
IPR000436		Recognition	High count
IPR014756		IG	High count
IPR000372		Interaction / Protein	High count
IPR000483		Interaction / Protein	High count
IPR002290		Kinase	High count
IPR017853		Hydrolase / Sugar	High count
IPR011989		Binding	High count
IPR029034		Factor	High count
IPR001849		Targeting / Binding	High count
IPR009003		Cleavage	High count
IPR012336		Thioredoxin	High count
IPR013806		Unknown / Kringle	High count
